Which type of pet do you own? , Perceived role of the pet,How often do owners interact with their pets? ,Daily time spent on pet care (minutes),"Do you live in a pet-friendly environment? (e.g., home with yard, pet-allowed apartment)","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet provides me with companionship]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [Having a pet gives me something to care for]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet provides me with pleasurable activity]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet is a source of constancy in my life]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet makes me feel needed]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet makes me feel safe]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet makes me play and laugh]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [Having a pet gives me something to love]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [I get more exercise because of my pet]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [I get comfort from touching my pet]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [I enjoy watching my pet]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet makes me feel loved]","The Comfort from Companion Animals Scale (CCAS) measures the emotional support and comfort provided by pets.
(1) Strongly Disagree, (2) Disagree, (3) Agree, (4) Strongly Agree
 [My pet makes me feel trusted]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you been upset because of something that happened unexpectedly?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt that you were unable to control the important things in your life?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt nervous and stressed? ]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt confident about your ability to handle your personal problems? ]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt that things were going your way?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you found that you could not cope with all the things that you had to do? ]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you been able to control irritations in your life?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt that you were on top of things?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you been angered because of things that happened that were outside of your control?]","Perceived Stress Scale (PSS): Assesses your current stress levels.
(0) Never, (1) Almost Never, (2) Sometimes, (3) Fairly Often, (4) Very Often [In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?]",Pet owner's Age(eg:20),Pet owner's gender,Your Living Situation,Employment status,Martial status,What is your family's approximate monthly income range (in LKR) as a pet owner?  ,Are you residing in the western province area?
Cat,Family member,Daily,61-120,Yes,4,4,4,4,4,4,4,4,2,3,4,4,4,3,4,3,4,2,3,2,2,2,2,23,Female,Living with roommate,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,16-30,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,4,29,Female,Living with family,Employed(full),married,"150,000 -350,000",Yes
Goat,Friend,Daily,61-120,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,24,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes
Bird,Family member,Daily,61-120,Yes,1,3,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,25,Male,Living with family,Employed(full),married,"150,000 -350,000",Yes
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,3,3,3,3,2,3,3,3,1,1,1,1,0,1,0,1,1,1,39,Female,Living with family,Employed(part),married,"50,000 -150,000",Yes
Bird,Friend,Daily,16-30,Yes,4,4,3,3,4,3,4,4,3,3,3,4,3,2,1,1,1,2,1,2,1,2,2,35,Male,Living with family,Employed(part),married,"Below 50,000",Yes
Dog,Family member,Daily,0-15,Yes,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,42,Male,Living with family,Employed(full),married,"50,000 -150,000",Yes
Cat,Family member,Daily,16-30,Yes,4,4,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3,2,4,2,4,4,4,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Weekly,61-120,Yes,3,4,4,3,3,3,4,4,3,3,4,4,4,2,2,0,1,2,3,2,1,0,1,19,Female,Living with family,Student,unmarried,"Below 50,000",Yes
Cow,Friend,Daily,31-60,No,4,3,3,4,2,3,3,4,4,3,3,3,3,3,3,4,1,3,3,3,3,3,2,20,Prefer not to say,Living with family,Employed(part),unmarried,"50,000 -150,000",Yes
Dog,Friend,Weekly,31-60,Yes,3,3,3,4,4,4,4,3,4,4,3,3,4,3,1,2,1,3,4,3,4,2,4,18,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,4,3,3,3,4,4,4,4,4,0,0,4,4,3,2,4,4,3,20,Male,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,61-120,No,4,3,3,4,3,4,4,4,3,3,3,3,3,3,1,1,1,2,0,1,1,1,1,21,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,>180,Yes,3,4,3,4,3,4,3,4,3,4,3,4,3,0,1,2,0,1,2,0,1,2,0,23,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,4,3,4,3,4,3,4,3,1,0,2,1,2,1,1,1,1,1,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Cow,Working partner,Daily,>180,Yes,4,4,3,3,4,4,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,22,Prefer not to say,Living with partner,Employed(part),married,"350,000 -700,000",Yes
Dog,Friend,Daily,61-120,Yes,4,3,4,3,3,3,4,4,4,3,4,3,4,1,2,1,2,1,1,1,1,2,1,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,121-180,No,3,4,4,3,4,4,3,4,3,4,4,3,4,1,2,2,1,2,1,2,2,1,2,19,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Cat,Friend,Weekly,61-120,Yes,3,4,4,3,4,4,4,4,3,3,3,4,4,1,1,0,0,0,0,1,0,1,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Friend,Weekly,16-30,Yes,4,3,4,3,3,4,3,4,3,4,3,4,3,1,2,1,2,2,2,1,2,1,2,20,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,4,4,3,4,4,4,3,3,0,0,1,1,0,0,0,0,1,0,25,Female,Living with partner,Employed(part),married,"150,000 -350,000",Yes
Dog,Family member,Weekly,31-60,No,4,3,4,3,3,4,3,4,4,3,4,3,4,1,1,2,0,1,2,1,0,1,1,21,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Friend,Daily,61-120,Yes,3,4,3,3,4,4,3,4,3,3,3,4,4,2,1,0,3,0,1,2,1,1,4,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Monthly,61-120,Yes,3,4,4,3,4,3,4,3,4,3,4,3,4,1,1,2,0,2,0,1,1,1,0,24,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Friend,Weekly,61-120,No,3,4,3,3,3,3,4,3,2,4,3,4,4,1,2,1,1,2,1,2,1,1,2,17,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,121-180,Yes,4,4,3,4,4,3,3,3,3,3,4,4,4,0,2,1,0,3,0,1,1,1,1,18,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,61-120,Yes,3,3,3,4,3,3,4,3,4,3,3,3,3,1,2,1,2,1,0,2,1,2,1,27,Female,Living with partner,Employed(full),married,"350,000 -700,000",Yes
Dog,Family member,Daily,121-180,Yes,2,3,4,4,3,3,4,3,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,24,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Weekly,16-30,Yes,3,4,3,4,3,4,4,3,4,3,4,3,4,1,2,2,2,1,2,0,1,1,2,25,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Friend,Weekly,61-120,No,3,3,3,3,2,3,3,3,3,3,4,3,3,1,2,1,2,1,1,2,1,2,1,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,31-60,Yes,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,0,1,2,1,1,1,2,22,Male,Living with roommate,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Weekly,121-180,Yes,3,3,3,3,4,3,4,3,4,3,4,3,4,1,2,2,2,1,2,1,2,1,2,23,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,61-120,Yes,3,3,3,4,4,3,4,3,4,3,4,3,4,1,2,2,2,1,2,1,2,1,2,25,Female,Living with partner,Student,married,"150,000 -350,000",Yes
Dog,Family member,Monthly,0-15,No,3,2,4,2,3,2,2,3,2,3,2,3,3,1,1,2,1,2,1,2,1,2,1,25,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Friend,Daily,31-60,Yes,3,4,3,4,3,4,3,3,4,3,4,3,3,1,2,1,2,1,1,2,1,1,2,26,Male,Living with roommate,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,121-180,Yes,4,4,4,3,3,3,3,4,3,3,3,4,4,0,1,2,2,1,0,0,1,2,1,22,Female,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,4,3,4,3,4,3,4,3,0,0,0,0,0,1,1,1,1,1,18,Female,Living with family,Student,married,"350,000 -700,000",Yes
Dog,Family member,Daily,121-180,Yes,3,3,4,4,3,4,3,4,3,4,3,4,3,0,0,1,1,0,0,1,1,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,3,3,4,4,4,4,4,4,4,4,1,0,1,0,1,0,1,0,1,0,23,Male,Living Alone,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,3,3,4,4,4,3,3,3,4,1,1,1,0,0,0,0,0,0,1,24,Female,Living with family,"Student, Employed(part)",unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,4,4,4,4,4,4,0,1,0,1,0,1,0,1,0,1,23,Male,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,3,4,3,4,3,4,4,4,0,1,0,1,2,0,0,0,2,0,21,Female,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,4,3,3,3,3,3,3,3,0,0,1,1,0,0,1,1,0,0,19,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,3,4,4,3,3,4,0,1,2,0,1,0,1,0,0,1,20,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,4,3,4,3,4,3,3,3,0,0,1,1,0,0,1,0,0,0,21,Male,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,1,0,1,0,1,0,0,22,Female,Living Alone,Student,unmarried,"Above 700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,4,3,3,3,3,3,4,4,4,4,0,0,0,1,0,0,1,0,1,0,23,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,4,3,4,3,4,4,3,4,3,4,3,0,1,1,0,1,0,0,0,1,0,18,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,4,3,4,3,4,4,4,3,0,0,1,1,0,0,1,1,0,0,24,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,4,3,3,3,4,4,4,4,0,1,1,1,0,0,0,0,1,0,19,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,>180,Yes,4,4,4,3,3,3,4,4,4,3,3,4,4,0,1,1,0,0,1,1,0,0,0,22,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,4,3,4,3,4,3,4,3,0,0,0,1,0,1,0,1,0,0,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,3,4,3,4,3,4,3,4,0,1,0,1,0,1,0,0,0,1,21,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes
Cat,Friend,Weekly,31-60,No,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,20,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes
Cat,Family member,Daily,>180,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"350,000 -700,000",Yes
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes
Fish,Friend,Daily,0-15,Yes,3,4,4,3,3,3,3,3,3,2,4,4,3,3,2,2,3,2,2,2,2,3,2,20,Female,Living with family,UnEmployed,unmarried,"Below 50,000",Yes
Bird,Family member,Daily,16-30,No,2,2,2,2,2,3,2,1,1,3,2,2,1,2,3,1,1,2,2,2,0,2,1,48,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes
Dog,Family member,Daily,16-30,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,2,0,2,1,1,20,Female,Living with family,UnEmployed,unmarried,"50,000 -150,000",Yes
Bird,Family member,Daily,31-60,Yes,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,3,2,2,2,4,2,2,2,3,Male,Living with family,Student,unmarried,"Below 50,000",Yes
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,3,4,4,3,4,3,4,4,0,0,0,2,1,1,0,3,2,2,25,Female,Living with family,UnEmployed,married,"Below 50,000",Yes
Dog,Family member,Daily,16-30,Yes,4,4,4,4,4,4,4,4,3,4,4,4,4,1,2,1,0,1,1,0,1,1,1,25,Female,Living with family,Student,unmarried,"150,000 -350,000",
Cat,Family member,Daily,0-15,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,22,Female,Living with family,Employed(full),unmarried,"Below 50,000",
Cat,Family member,Daily,16-30,Yes,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,0,0,1,25,Female,Living with family,Employed(full),unmarried,"Below 50,000",
